,DRUG_NAME,DRUG_NAME_ALT,SMILES,drug_id
0,BRD-A99454881,,CC(C)c1ccc2OCCC(N)C(O)c2c1,27.0
66,BRD-K64168266,,FC(F)(F)c1cccc(NCc2cccs2)c1,28.0
131,BRD-K32616165,,CC(C)c1ccccc1Oc1ccc(cc1)C(O)=O,29.0
197,BRD-A20155894,,CN(Cc1ccccc1)C1CS(=O)(=O)CC1O,30.0
263,BRD-K90927395,,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O,31.0
329,BRD-K19301771,,OC(=O)c1cn2cccc(O)c2n1,32.0
395,BRD-K12145699,,Cc1ccc(\C=N/Nc2cn[nH]c(=O)c2Cl)o1,33.0
461,BRD-A96798460,,Fc1ccc(cc1Cl)C1NCCc2nc[nH]c12,34.0
527,BRD-A37946832,,OC1CS(=O)(=O)CC1NCC1CC2CC1C=C2,35.0
592,BRD-K71561089,,CC(=O)c1ccc(Oc2ccc(cc2)[N+]([O-])=O)cc1,36.0
658,BRD-K69686856,,Cc1sc(N)nc1-c1ccccc1OC(F)F,37.0
724,BRD-K39463108,,COCCNc1oc(nc1C#N)c2ccc(C)cc2,38.0
790,BRD-K82952195,,O=c1[nH]c(NCCc2ccccc2)nc2CCCc12,39.0
856,BRD-K86308957,,CCOC(=O)c1csc(CN2CCCCC2)n1,40.0
922,BRD-K39037242,,CSc1nc(C)c(CN2CCCCC2)c(=O)[nH]1,41.0
988,BRD-K97843497,,CCOc1cccc2c1[nH]cc(C(O)=O)c2=O,42.0
1054,BRD-A39130397,,CC(C)C(CC(O)=O)c1ccc2CCCc2c1,43.0
1120,BRD-K09050453,,CNc1oc(nc1C#N)C12CC3CC(CC(C3)C1)C2,44.0
1186,BRD-K51001279,,CCCc1nnc(NC(=O)c2ccco2)s1,45.0
1252,BRD-K54739461,,COC(=O)CCCCCNc1n[nH]c(=O)[nH]c1=O,46.0
1318,BRD-K94133028,,Cc1ccc(cc1Br)[N+]([O-])=O,47.0
1384,BRD-A02550634,,CN(C1CCS(=O)(=O)C1)C(=O)c2ccncc2,48.0
1450,BRD-K12953901,,c1ccc2nc(ccc2c1)-c1cnc2ccccc2c1,49.0
1516,BRD-A94329136,,CC1CCCCC1NS(=O)(=O)c1ccccc1,50.0
1580,BRD-K44479844,,Fc1ccccc1NC(=O)c1ccccc1F,51.0
1646,BRD-K53743146,,Cc1nn(c(O)c1CCO)-c1ccc(C)cc1,52.0
1712,BRD-K15353871,,Cc1ccc(cc1)-c1nnc(CN2CCCCC2)o1,53.0
1777,BRD-K41558049,,Cc1cc(=O)[nH]c2ccc(cc12)S(C)(=O)=O,54.0
1842,BRD-K04149379,,Oc1ccc(Oc2ncc(Cl)cc2Cl)cc1,55.0
