,DRUG_NAME,DRUG_NAME_ALT,SMILES,drug_id
1981348,DT2017-0013281,,O=C(C(C=C1)=C(C)N1C)N2CC(C3=CC=CC=N3)C2,8087.0
1981389,DT2017-0004357,,CC(C)CC1=NC(CN2C[C@@H]([C@H](OC3)CC2)N4C3=CN=N4)=NO1,8088.0
1981430,DT2017-0003796,,O=C(CC1C2=CC=CC=C2CC1)N3CCN(CC3)C4=CC=NC5=NN=CN45,8089.0
1981472,DT2017-0009184,,O=C(CC1=C(C)NC(C1=CC=C2)=C2F)N3C[C@@H]([C@@H](OC4)CC3)N5C4=CN=N5,8090.0
1981514,DT2017-0000646,,O=C(N)C1=NOC(CN(CCC2)CC2CCC3=CC=CC=C3F)=N1,8091.0
1981556,DT2017-0004670,,O=C(N(CCC1)C1C2=NC3=CC=C(C)C=C3N2)C4=C5N(N=C4)C=C(C)C=N5,8092.0
1981598,DT2017-0007193,,O=C(NCC1=NC=CC(C)=C1)C(C2)N(C)CC32CCNCC3,8093.0
1981640,DT2017-0011233,,O=C(N[C@H](CC1=CC=CC=C1)[C@@H]2C[C@@H](O)C2)CC3=NON=C3C,8094.0
1981682,DT2017-0000492,,O=C(N(C)CC1=CSC(C2=CC=CC=C2)=N1)C(NCC3)C4=C3NC=N4,8095.0
1981724,DT2017-0004955,,CN1CCC(CC1)N2C(C(C=C3)=CC=C3N4N=CC=C4)=NC(COCC)=N2,8096.0
1981766,DT2017-0001269,,O=C(CCN1C(C)=NC=C1)N(C)CC(C2)(C3=CC=CC=C3)C2(C)C,8097.0
1981808,DT2017-0005975,,CC1=CC=CC=C1C2=NC=C(CN3CCN(CC3)C4=NNC=N4)S2,8098.0
1981850,DT2017-0010767,,O=C1NC(CCN2C=C(C3=CC(CCC4)=C4C=C3OC)N=N2)=NN1,8099.0
1981892,DT2017-0005810,,O=C(C1=C(C=C(C)C=C2)C2=NC=C1)N3C[C@@H]4CC[C@@H](C4N(C)C)C3,8100.0
1981934,DT2017-0020568,,CC1=C(SC=C1)CCN2N=NC(C3COCC3)=C2,8101.0
1981976,DT2017-0009366,,OC(C=C(CN1CCN(CCC1)C2=CC(C)=NC=C2)N=C3)=C3OC,8102.0
1982018,DT2017-0003408,,O=C(NC1=CC(COC2)=C2C=C1)N(C)CC(NC3=C4)=NC3=CC(C)=C4C,8103.0
1982060,DT2017-0001324,,CN1C(C2=NN=C(CN(CCCC3)C3CCN4N=CC=C4)O2)=CC=C1C,8104.0
1982102,DT2017-0001604,,O=C(C1=CC(N(CC2)CCC2C(O)CC(C)C)=NC=C1)N3CCCC3,8105.0
1982144,DT2017-0014843,,O=C(C1=CC(C2=CC=CN2C)=NN1)N3C[C@H]([C@H](CCC)C3)N(C)C,8106.0
1982186,DT2017-0013607,,O=C(C=C1C)N(CC(N[C@H](COCC2)[C@H]2OCC3CC3)=O)N=C1C,8107.0
1982228,DT2017-0010503,,O=C1N(CC2(COCC2)CC1)CC3=CN(C4=CC=CC(OC)=C4)N=C3,8108.0
1982270,DT2017-0010404,,FC1=C2C(N=CC=C2)=C(C=C1)C3=NC=CC(OC)=C3,8109.0
1982312,DT2017-0004902,,O=C(N[C@H](CCCC1)[C@@H]1C2=CC=CC=C2)N(C)CC3=CNN=C3C,8110.0
1982354,DT2017-0020356,,CC1(C)CC2=CC(CN3CCN(CC3)C4=CC=NC5=NN=CN45)=CC=C2O1,8111.0
1982396,DT2017-0017818,,O=C(N(CC)CC1=NC(COC)=NO1)C2=CC=NN2C(C)C,8112.0
1982438,DT2017-0020426,,O=C(N(C)CCC(O)C1=CC=CC=C1)C2=CC=CC(C(S3)=NC(C)=C3C)=C2,8113.0
1982480,DT2017-0000692,,O=S(C1=C2SC=C1)(N(C)CC2NC(NC3=CN(N=N3)C(C)C)=O)=O,8114.0
1982522,DT2017-0003235,,O=C(NCC1=C(C)N(N=C1)CC)C2=NN(C(C3=CC=CS3)=C2)C,8115.0
1982564,DT2017-0007012,,O=C(N(C)CC1=NC(C)=CC(C)=C1)COCC(NC2=C3)=NC2=CC=C3C,8116.0
1982606,DT2017-0018458,,O=C(N(CCC1)[C@@H]1COC)C2=CC=CC(C3=NN(C)C(N(C)C)=N3)=C2,8117.0
1982648,DT2017-0020396,,CC(CN1CCOCC1)(C)CN2CCC(CC2)C3=C(C)C=NC=N3,8118.0
1982690,DT2017-0003443,,O=C(NCC1=NN2CCCN(C(C)=O)CC2=C1)C3=CC(C4=CC=CN4C)=NN3,8119.0
1982732,DT2017-0016491,,O=C(NCC1=NNC2=C1CCC2)N3CC4=C(OCC3)C=CC(Cl)=C4,8120.0
1982774,DT2017-0019658,,O=C(N(CC(NC)=O)C(C1=CC=CO1)=N2)N2C(C=CC=C3)=C3OC,8121.0
1982816,DT2017-0001179,,O=C([C@H](O)C1CCCCC1)NCC2=CC=CC(C3=NN=NN3)=C2,8122.0
1982858,DT2017-0006360,,O=C(NC(C)C1=NC=NN1CC)C2=CN(N=N2)[C@@H](CC3)CC[C@@H]3N,8123.0
1982900,DT2017-0017528,,O=C(CC1=CC(C)=NO1)N(CC2)CCC2C3=NC=CN3CC4CCC4,8124.0
1982942,DT2017-0013239,,O=C1NC(N(C)C)=NC21CCN(CC3=CC(CN4N=CC=C4)=CC=C3)CC2,8125.0
1982984,DT2017-0018220,,CC(C)C1=NN=C(CN2CC(CCC2)C3=NC=CN3CC4=CC=CC=C4)O1,8126.0
1983026,DT2017-0014544,,O=S1(C[C@H]([C@@H](NCC2)C1)N2C(C3=CC(C(C)C)=NN3CC)=O)=O,8127.0
1983068,DT2017-0010055,,O=C(N(CC(C)C)CC1)C(C)N1C(C2=CC=CC(C3=CC=NC=C3F)=C2)=O,8128.0
1983110,DT2017-0020337,,O=C(C1CCC1)N2CC3=CC(CNC(C4=C(C)N=C(CC)O4)=O)=NN3CC2,8129.0
1983152,DT2017-0016101,,N#CC1=CC=CC(N(CC2)CCC2C3=NN=C(CN4N=CC=C4)N3C5CC5)=N1,8130.0
1983194,DT2017-0003547,,O=C(O)[C@H]1[C@H](C2=CC=CC=C2)CN(C(CCCC3=CNN=C3)=O)C1,8131.0
1983236,DT2017-0004781,,OC(C)C1=NC(N(CC2)CCC2OC3=CC=CC(C)=C3)=CC=C1,8132.0
1983278,DT2017-0010429,,O=C(C(N(C)C)C1=CC=CC(F)=C1)NCCC(S2)=NN=C2C,8133.0
1983320,DT2017-0001797,,O=C(N)C1=C(C2=CC(C3=CC=NN3C)=CC=C2)N=C(CCC4)C4=C1,8134.0
1983362,DT2017-0000807,,COC(C(OC)=C1)=C(OC)C=C1C2=NNC=C2C3=NC=CN3,8135.0
1983404,DT2017-0002255,,O[C@H](C1)[C@@H](CCN1CC2=CC=CC3=C2C=CN3)C4=C(C)C=CS4,8136.0
1983446,DT2017-0003159,,O=C(N(CCOC)CC(C=CC=C1)=C1Cl)C2N(C)CC3(CCNCC3)C2,8137.0
1983488,DT2017-0016148,,O=C(C1=CC(N(CCC2)CC2CCC(N(C)C)=O)=NC=C1)N3CCCC3,8138.0
1983530,DT2017-0003268,,O=C(C(CC(N1C[C@H]([C@H](C2=CC=CC(F)=C2)C1)C(O)=O)=O)=C(C)N3)NC3=O,8139.0
1983572,DT2017-0008477,,O=C(C1)N(CC21CCN(C)CC2)CC3=NN=C(C4=CC=CN=C4)O3,8140.0
1983614,DT2017-0018409,,O=C1N(CC2CCNCC2)[C@H]3[C@@H](CC1)CN(CC4=CN=C(N=C4)C)CC3,8141.0
1983656,DT2017-0001960,,O=S(NCC1=NN(CC2)C(CN2C3=CC=NC4=CC=C(C)C=C34)=C1)(C)=O,8142.0
1983698,DT2017-0004829,,ClC1=C(CN2[C@@H]3[C@@](CC2)(OC)CC[C@@H](O)C3)N4C(SC=C4C)=N1,8143.0
1983740,DT2017-0020486,,O=C1CC(C(C=CC=C2)=C2OCCN(C)C)C(N(C=C(C)C=C3)C3=N4)=C4CN1,8144.0
1983782,DT2017-0002096,,O=C([C@@H]1N(C)CCC1)N[C@@H]2C[C@@H](C2)C3=NN=C(CO)N3CCOC,8145.0
1983823,DT2017-0003079,,CC1=CC=C(C=C1)CN2CCC(CC2)C3=NN=C(CN4N=CC=C4)N3C5CC5,8146.0
1983865,DT2017-0014762,,O=C(NC(C)=C1)C=C1C(NCC2=NNC3=C2CCCCC3)=O,8147.0
1983907,DT2017-0000920,,CC1=NC(CN2CC(N=C(C3=CC=C(OC)C=C3)N4)=C4CC2)=CC=C1,8148.0
1983949,DT2017-0021075,,O=C(NC1)OC12CN(CCC2)CC3=CN=C(C4=CC=CC=N4)N=C3,8149.0
1983990,DT2017-0000465,,O=C(N(CC1)CCC1C2=NC=CN2CCOC)C3=C(F)N4C(C)=CC=CC4=N3,8150.0
1984031,DT2017-0000170,,O=C(N)COC1=CC=C(Cl)C=C1CN(CCC2)CC2(CO)CC3CC3,8151.0
1984073,DT2017-0000254,,CC1=CC(C)=NN1CC(C)NC2=CC(C(C)C)=NC3=CC=NN23,8152.0
1984115,DT2017-0007651,,O=C(C1CCC1)N(CC2)CCC2C3=NC(C4COCC4)=NO3,8153.0
1984157,DT2017-0012919,,O=C(N(C)C(CC1)CN1C)C2=CN=CN=C2CCC,8154.0
1984199,DT2017-0015136,,O=S(N(CC1)C2(CCN(CC3=C(C)N(N=C3)C)CC2)C4=C1NC=N4)(C)=O,8155.0
1984241,DT2017-0016905,,CN1N=C(C)C2=C1N=CN=C2NCCC(C)N3CCN(C)CC3,8156.0
1984283,DT2017-0006481,,O=S(C(C(C)=N1)=C(C)N1C)(N[C@H](CC2=NC=CC=C2)[C@@H]3C[C@H](O)C3)=O,8157.0
1984325,DT2017-0012380,,ClC(C(C1=NC(CC(N)=O)=NN1C2=CC=CC=C2OC)=NN3)=C3N,8158.0
1984367,DT2017-0008774,,CC1=C(CN2CC(CN3CCCC3)OCCC2)C(C)=NN1CCO,8159.0
1984409,DT2017-0000842,,O=C(C(C(O)=C1)=CC=C1N2N=NN=C2)N3CC(C(C)(C)C3)C4=CC=CC=C4,8160.0
1984451,DT2017-0006005,,N#CC1=NN(CCC2)C(CN2C(CCN3C(N=C(C)C=C3C)=O)=O)=C1,8161.0
1984493,DT2017-0009490,,O=C1C(C)=C(CN2CC(O)(COCC2)CN3CCCC3)NC=C1C,8162.0
1984535,DT2017-0008661,,O=C(CCCC(C1=CC=CC=C1)=O)N(C[C@H]2C3)C[C@@H](CC2)N3CC4CC4,8163.0
1984577,DT2017-0016474,,O=C(CCN1N=CC=C1C)N2C[C@H]([C@H](CC2)N3CCN(C)CC3)CCCO,8164.0
1984619,DT2017-0015493,,COC1=CC(OC)=NC(N2CCC3=NN=C(CC4=CN=CC=C4)N3CC2)=N1,8165.0
1984661,DT2017-0002175,,O=C(CC1)N(CCOC)CC12CN(CCC2)CC3=NC(C(C=C3)=CC=C4)=C4F,8166.0
1984703,DT2017-0017195,,O=C(NC1CC1)C2=CC(N(CC3)CC3C4=C(OC)C=CC(OC)=C4)=NC=C2,8167.0
1984745,DT2017-0001997,,O=C(NCC1=C(C)C(Cl)=CC=C1)[C@H]2N(CCC2)C3CCNCC3,8168.0
1984787,DT2017-0002291,,O=C(N(CCC1)CCN1C2=CC(C)=NC=C2)C(C3)NC(C3=C4)=CC=C4Cl,8169.0
1984828,DT2017-0009630,,O=C(C)N(CC12CCN(CC2)C3=C(CCC)C=NC(C)=N3)C(C1)C(O)=O,8170.0
1984870,DT2017-0000168,,O=C(N1CCCC1)C(C)N(C)CC2=NNC3=C2CCC3,8171.0
1984912,DT2017-0002617,,O=S1(C[C@@H]([C@H](N2CCC(O)=O)C1)N(CC2)CC(C(OC)=C3)=CC=C3C)=O,8172.0
1984954,DT2017-0013797,,O=C(N1CCC2=NN=C(C3=CC=CC=C3)N2CC1)C4=CC(C(C)C)=NN4C,8173.0
1984996,DT2017-0003808,,CN(N=C1C)C2=C1C(N(CCC3)CC3OCC4=CN=CC=C4)=NC=N2,8174.0
1985038,DT2017-0003747,,O=C(NC1=C(C)C(C)=C(N=CN2)C2=C1)N3CC4=C(OCC3)C=CC(CO)=C4,8175.0
1985080,DT2017-0001022,,N#CC1=CC(C(NCC2CC3=CC=CC(OC)=C3OC2)=O)=C(C)NC1=O,8176.0
1985122,DT2017-0007299,,C1(C2=CC=CC3=CC=CN=C23)=NC(C4COCC4)=NO1,8177.0
1985164,DT2017-0007854,,O=C(N(CCC1)CC1C2=NC=CN2CC3=CSC=N3)C4=CC(C(C)C)=NO4,8178.0
1985206,DT2017-0012864,,O=C(N1CCC(CC1)N(CCC2)CC2O)C3=CN=C(N4CCOCC4)N=C3,8179.0
1985248,DT2017-0006397,,O=C(N[C@@H]1[C@@H](OC)CNC1)C2=C(C)N=C(CC)O2,8180.0
1985290,DT2017-0008700,,CN(C)CCOC1=C(C=CC=C1)CN2C[C@@H](CC3)N(C[C@@H]3C2)CCC,8181.0
1985332,DT2017-0003269,,O=S(CCN1C(C2=CC=CC(C3=CC4=C(N=C3C)NC=N4)=C2)=O)(CC1)=O,8182.0
1985374,DT2017-0006403,,O=C(COC)NCC1=NN(CCC2)C(CN2CC3=CC=CC4=C3C=CN4C)=C1,8183.0
1985416,DT2017-0000252,,O=C(N1CC2=C(CC1)NN=C2C3=CC(OCO4)=C4C=C3)C5=CNN=C5CCC,8184.0
1985458,DT2017-0003374,,O=C(CC1=CC=C(C=C1)N2N=NN=C2C)N3CC4=C(OCC3)C=CC(CO)=C4,8185.0
1985500,DT2017-0007739,,CC1=NN=NN1CCCN2C[C@@H](CC3)N(C[C@@H]3C2)CC4CC4,8186.0
1985542,DT2017-0021038,,O=C(C1=C(F)C=C(F)C=C1)N2C[C@](C(O)=O)(CN3CCOC)[C@H](C3)C2,8187.0
1985584,DT2017-0014751,,O=C(COC1=CN=CC=C1)NC(CC)C2=CN3C(N=CC=C3)=N2,8188.0
1985626,DT2017-0000746,,O=C(C1=COC(CN2CCOCC2)=C1)N3C[C@H]([C@@](O)(CC)CC3)O,8189.0
1985668,DT2017-0004737,,O=C1C(CN2C(NC(CC)C3=NC4=CC(C)=CC=C4N3)=O)=C(C2)N=C(C)N1,8190.0
1985710,DT2017-0003085,,O=C(NC(C1=CC=CC=C1)CCN2C=NC=C2)C3=CC(NC(CC)=C3)=O,8191.0
1985752,DT2017-0013189,,O=C(C1(C)COC1)N2C[C@H]([C@H](C3=C(OC)C(OC)=CC=C3)C2)C(O)=O,8192.0
1985794,DT2017-0004139,,O=C(N(CCC1)CC1C2=CC=NC=N2)C3=CC4=CC=CC(C)=C4N=C3C,8193.0
1985836,DT2017-0004680,,CN1C(C2CN(CCC2)C3=NC=NC(O4)=C3N=C4CC)=NN=C1CN5C=NC=C5,8194.0
1985878,DT2017-0003913,,O=C(O)C1=CC(CN2CCC3(CNC(CC3)=O)CC2)=CC=C1OC,8195.0
1985920,DT2017-0020913,,O=S1(C[C@@H]([C@H](N(CCC)CC2)C1)N2C(CN(C(C)=C3C)N=C3C)=O)=O,8196.0
1985962,DT2017-0000150,,O=C(NC(C)CC1=NC=CC=C1C)N(CC2)CCN2C(C=C3)=NN4C3=NC=C4,8197.0
1986004,DT2017-0002378,,O=C(N[C@@H]1[C@H]([C@@H]2[C@H]1CCO2)C3CCCC3)CN4N=CC5=CC=CC=C45,8198.0
1986046,DT2017-0000542,,O=C(N1CC(OC2=CC=CC=C2F)C1)[C@@](CC3)(C)C(C)(C)[C@H]3C(NC)=O,8199.0
1986088,DT2017-0004013,,O=S1(C[C@@H]([C@H](N(C)CC2)C1)N2C(C3=C(CC)C(C=CC=C4)=C4N3)=O)=O,8200.0
1986130,DT2017-0020408,,O=C(NCC1)C(CC(NCC2=CC(CCC3)=C3N=C2)=O)N1CC(C=C4)=CC=C4F,8201.0
1986172,DT2017-0002312,,O=C(C)N1C[C@](CN2CC3=C(F)C=C(Cl)C=C3)([H])[C@](CC2)(O)CC1,8202.0
1986214,DT2017-0006265,,O[C@H]1C2(CCN(CC3=CC(OC4CCCC4)=CC=C3)CC2)[C@@H](OCCN)C1,8203.0
1986256,DT2017-0006983,,O=C(N1CCC(N(CC2)C(CC)=O)(CC1)C3=C2NC=N3)C4=NOC=C4,8204.0
1986298,DT2017-0007534,,O=C(N1CCC2(CN(C(C2)=O)CC)CC1)C3N(CCCC3)C(OC)=O,8205.0
1986340,DT2017-0008176,,ClC1=CC(CN(CC)[C@@H](COC2)[C@H]2O)=C(OC)C=C1OC,8206.0
1986382,DT2017-0000203,,O=C(NC(C)CC1=CN=CC=C1)C2=C(F)N3C=CC(C)=CC3=N2,8207.0
1986424,DT2017-0018800,,O=C(NC(C)C1=NN=NN1)C2=CC(Cl)=CC=C2OC3CCN(C(C)=O)CC3,8208.0
1986466,DT2017-0006455,,O=C(N1OCC(O)C1)C2=C3C(C(C)=C(Cl)C=C3)=NC(C4=CC=CO4)=C2,8209.0
1986508,DT2017-0019555,,O=S1(C[C@@H]([C@H](N(C)CC2)C1)N2CC3=C(C)N(N=C3)CCC)=O,8210.0
1986550,DT2017-0005459,,O=S(NC1=CC(N2C(C(C=CC=C3)=C3C(O)=O)=NC=C2)=CC=C1OC)(C)=O,8211.0
1986592,DT2017-0009417,,NC1=NC2=CC(C(NCC3=CC=CC(C)=C3C)=O)=CN=C2N1CC,8212.0
1986634,DT2017-0018007,,O=C(NC(C1=CC=CC=C1)CCN2C=NC=C2)CC3=C(C)N=C(C)S3,8213.0
1986675,DT2017-0007197,,O=C(NC1)OC12CN(CCC2)CC(C(OC)=C3)=CC4=C3CCC4,8214.0
1986717,DT2017-0002078,,O=C(NC1)CCC12CCN(CC2)CC3=CC(C(C)C)=C(OC)C=C3C,8215.0
1986759,DT2017-0016185,,O=S1(C[C@H]([C@@H](N(CC2=CC=C(C)C=C2)CC3)C1)N3C(C(C)C)=O)=O,8216.0
1986801,DT2017-0000850,,O=C(NCC1(O)CCNC1)C2=CC=CC(C(C=CC=C3)=C3C(C)=O)=C2,8217.0
1986843,DT2017-0008405,,CC1=CC(C)=NN1C(C=C2)=CC=C2C3=NC(CCOC)=NN3CCO,8218.0
1986885,DT2017-0000908,,O=S(C1=CC=C2N(C(C)C)C(C3=NC=CN3CC)=NC2=C1)(NC(C)C)=O,8219.0
1986927,DT2017-0000907,,O=C(CCCN(C(C)=C1)N=C1C)N(C[C@@H]2C3)[C@H](CC2)CN3C4=NC=CN=C4,8220.0
1986969,DT2017-0004732,,OC1CC(OC1)(CC2)CCN2CC3=CC=C(OC(C)(C)C4)C4=C3,8221.0
1987011,DT2017-0011541,,O=C(NCC1=NC(C=C2OC)=C(C=C2)O1)N3CC(CC3)N(C(C)=C4)N=C4C,8222.0
1987053,DT2017-0005922,,O=C(OC1(CCNCC1)C2)N2CC(C=CC=C3)=C3N(C(C)=C4)N=C4C,8223.0
1987095,DT2017-0013734,,O=C(N)C1=NC(N(CC2)CC2(CCC3)CN3CCCC4=CC=CC=C4)=CN=C1,8224.0
1987137,DT2017-0015498,,O=C(C1=CN=C(N=C1)C(C)C)NC(C2=NC(C)=CC=C2)C3CC3,8225.0
1987179,DT2017-0002935,,O=C(NC(C)C(C=CC=C1)=C1N2N=CC=C2)C3=CN=C(N(C)C)N=C3C,8226.0
1987221,DT2017-0006902,,FC1=CC=C(C(CN(C)CC2(CCOCC2)CO)=C1)N(C(C)=C3)N=C3C,8227.0
1987263,DT2017-0008126,,CC1=C2N(N=C1C)C(N3CC(C(C(C)C)=NN4)=C4CC3)=CC(C)=N2,8228.0
1987305,DT2017-0019367,,O=C(CC[C@H]1[C@]2([H])N(CCC1)CCCC2)NCC3=CC(O)=NC(C)=N3,8229.0
1987347,DT2017-0019519,,O=C(NCC(C)C)CN(CC1)CC12CN(CCC2)CC3=C(F)C(F)=CC=C3,8230.0
1987389,DT2017-0012532,,O=C(N(CC1)CC12CN(CCC2)CC3CC3)C4=NNC(N)=C4Cl,8231.0
1987431,DT2017-0013000,,OC1CN(C1)C2=NC(C3COCC3)=CC(NCC4=NNC(COC)=C4)=N2,8232.0
1987473,DT2017-0011032,,O=C(N)C1=NC(N(CC2)CC23CN(CCC3)CC4=CC=C(C(C)C)C=C4)=CN=C1,8233.0
1987515,DT2017-0012285,,O=C(N(C1=CC=CC(C)=C1)CC2CCCC)CN2C(C3=CN=C(N)C=C3)=O,8234.0
1987557,DT2017-0005183,,O=C(CCC1=NN2C(CNCCC2)=C1)N(CCC3)CCN3C4=CC=NC=C4,8235.0
1987599,DT2017-0001325,,O=S(C(N=C1)=CN1C)(N(CCC2)CC2CCC(C(F)=CC=C3)=C3F)=O,8236.0
1987641,DT2017-0000567,,CN1CCN(CC1)CC2=CC=C(C3=C4C(N=CC=C4)=C(OC)C=C3)N=C2,8237.0
1987683,DT2017-0002551,,O=C(CN(C)C1CCNCC1)N(C)CC2=CNN=C2C3=CC=CC=C3,8238.0
1987725,DT2017-0018646,,O=C1N(CCC1)CCC2N(CCCC2)CC3=CC(Cl)=C(OC)C(F)=C3,8239.0
1987767,DT2017-0019834,,O=C(CCC1=C(F)C=C(F)C=C1)N(C[C@@H]2C3)[C@H](CC2)CN3CC4=CC=CC=N4,8240.0
1987809,DT2017-0011573,,N(CC1=CN=C(C2=CC=CS2)N=C1)(CC3)[C@H]4[C@@H]3CNC4,8241.0
1987851,DT2017-0002122,,O=C(N(C)C)CN1C[C@@H](CC2)N(C[C@@H]2C1)C(COC3=CC(Cl)=CC=C3)=O,8242.0
1987893,DT2017-0004936,,CCN1C2=CC(CN3CCC(CC3)OC4=CN=CC=C4)=CC=C2C=C1,8243.0
1987935,DT2017-0008162,,O=C(N1CC2=CC=CC(C)=C2)C(CC3)(CCC1)CN3CC(N4CCOCC4)=O,8244.0
1987977,DT2017-0012302,,CO[C@@](CC1)(CC2)[C@H](C[C@H]2OCC3CC3)N1CC4=C5C(C=NC=C5)=CC=C4,8245.0
1988019,DT2017-0011241,,OCC1=NN(CCC2)C(CN2CC3=CNN=C3C4=C(C)C=CC(C)=C4)=C1,8246.0
1988061,DT2017-0013849,,O=C(C)C1=C(C=CC=C1)C(C(C)=C2)=CN=C2N3C=NN=C3,8247.0
1988103,DT2017-0005908,,CC(C)C1=NC(CN(CC2)[C@H]3[C@@H]2CNC3)=CO1,8248.0
1988145,DT2017-0006229,,O=C1N(CC)C(C2CCN(CC2)C(C3=CC(SC=C4)=C4N3)=O)=NN1,8249.0
1988187,DT2017-0012404,,O=C(CN(CC1=CC(Cl)=CC(OC)=C1OC)CC2)N2C3=CC(OC)=CC=C3,8250.0
1988229,DT2017-0015232,,O=C(C(N(C)C)C(C=CC=C1)=C1F)N2CCC(N(C)CCCN3)(CC2)C3=O,8251.0
1988271,DT2017-0017388,,O=C(C1=CC=CC(C(C=C2)=CC=C2OC(F)F)=C1)N3C(C)C(NCC3)=O,8252.0
1988313,DT2017-0010552,,CC(C)(C)C1=CC(CN2[C@H]3[C@@H]4CNC[C@@H]4[C@@H]2CC3)=NN1,8253.0
1988354,DT2017-0007144,,CC(N=CN1)=C1C2=NC=CN2CCC3=C(C)N=CS3,8254.0
1988396,DT2017-0000289,,O=C(N(C)CC1=C(C2=CC=C(F)C=C2)NN=C1)C(C=C(C)N3)=CC3=O,8255.0
1988438,DT2017-0008949,,O=C(N(CC)C=C1)C=C1C(N(CCC2)CCC32OC(NC3)=O)=O,8256.0
1988480,DT2017-0008940,,O=C(NC1)CC(C2=CC=CC3=C2C=CN3)C4=C1N=C5N4C=CS5,8257.0
1988522,DT2017-0014533,,FC1=CC(C(O2)=NC(CN3N=C(N=C3)C4CC4)=C2C)=CC(F)=C1,8258.0
1988564,DT2017-0011983,,O=C(NCC(C)N1C=NC=C1)C2=NN=C3N2C(C)=CC(C)=N3,8259.0
1988606,DT2017-0009465,,O=C(N[C@@H]1[C@H](O)CCNC1)C2=C(C)C3=CC(F)=CC=C3N2,8260.0
1988648,DT2017-0012833,,O=C(N1CCCC2=CC=CC=C2)C(CNCC3=C(F)C=CC(F)=C3)(CCC1)O,8261.0
1988690,DT2017-0020452,,O=C(N(C)CC1=CC(C2=CC=NC=C2)=NO1)C3=C(C)N(N=C3)CC,8262.0
1988732,DT2017-0008800,,O=C(CC1)N(CC2=CC=C(F)C=C2)C(C(C)C)CN1C3=NC(NC)=NC(C)=C3,8263.0
1988774,DT2017-0012522,,O=C1N(C2=CC=CC=C2)C(C(CCC3)CN3CC4=NC(C)=CS4)=NN1,8264.0
1988816,DT2017-0005214,,O=C(OCC1)N1CC(NCC(O2)=NC3=C2C=CC(C(C)(C)C)=C3)=O,8265.0
1988858,DT2017-0000025,,CC1=C2N=C(CCN(C)CC3COCC3)NC2=CC=C1,8266.0
1988900,DT2017-0012005,,O=C(N1CC2CCC2)C(CC3)(CCC1)CN3C4=C(C(N)=O)C=C5C(CCC5)=N4,8267.0
1988942,DT2017-0013662,,O=C(C1)N(C)CC1CN(C)C(C(C=C2)=CC=C2C3=CC(C)=C(OC)C=C3C)=O,8268.0
1988984,DT2017-0017522,,O=C1N(CCCC1)CCC(N(CC2)C(C3=CC=NC=C3)C4=C2NC=N4)=O,8269.0
1989026,DT2017-0007186,,O=C(N1CCC(CC1)N(CCC2)CC2C(NC3CC3)=O)C4=COC5=CC=CC=C45,8270.0
1989068,DT2017-0001716,,O=C(N(CC1)C[C@H]([C@@H]1C2=CC=C3OCOC3=C2)O)C4=C5N(N=C4)C=C(C)C=N5,8271.0
1989110,DT2017-0009984,,O=C1NC(C2=CC=CN=C2)=NC(C3)=C1CCN3C(C4=C(C)N(N=C4C)CC)=O,8272.0
1989152,DT2017-0002831,,O=C(C1=CN=CN=C1CCC)N2CC3=C(CC2)NN=C3C4=CC=CC=C4F,8273.0
1989194,DT2017-0002671,,O=C(C)N[C@H](C1)[C@@H](CN1C2=CN=CC=N2)C3=CC=C(C)O3,8274.0
1989236,DT2017-0008803,,O=S(N(CCCC1)C1CCNC(C(N=C2C=C3)=C(F)N2C=C3C)=O)(C)=O,8275.0
1989278,DT2017-0020056,,CC1=CC(C)=NC2=C(CN(C)CC3=NC4=CC=CC=C4C=C3)C=NN21,8276.0
1989320,DT2017-0015713,,ClC1=CC=CC(C(O2)=NC(CN(C)CC3=NC=CN3C)=C2C)=C1,8277.0
1989362,DT2017-0003897,,Nc1cc(ncn1)N2C[C@@H]([C@@H]3[C@H]2C4CCN3CC4)c5cc(F)cc(F)c5,8278.0
1989404,DT2017-0008389,,O=C([C@@H](N)C(C)(C)C)N1CC2=C(CC1)NN=C2C3=CC=C(C4=CC=CC=C4)C=C3,8279.0
1989446,DT2017-0015468,,O=C(N(C)CC1=CNN=C1C2=CC=CC=C2)C(C)N(C(C)=C3)N=C3C,8280.0
1989488,DT2017-0005449,,O=S(N1C[C@@H](CC2)N(C[C@@H]2C1)C(C3=CN=C4C=CC=CC4=C3)=O)(C)=O,8281.0
1989530,DT2017-0012292,,O=C(C(C=C1Cl)=CNC1=O)N[C@@H]2[C@H]([C@H]3[C@@H]2CCO3)N4CCCC4,8282.0
1989572,DT2017-0020512,,O=C(N[C@@H](COC1)[C@H]1N2CCN(C)CC2)C3=NC(C=CC=C4)=C4N3,8283.0
1989614,DT2017-0004774,,O[C@@H]1C[C@@H]([C@@](CC2)(OC)CC1)N2CC3=CN(C(C=C4)=CC=C4C(C)C)N=C3,8284.0
1989656,DT2017-0003283,,O=C(N1CC(CC)N(C(CC1)=O)CC2=CC=CC=C2)C3=C4N(N=C3)C=C(C)C=N4,8285.0
1989698,DT2017-0013629,,O=C1NC(N(C)C)=NC2=C1CCN(C(NCC3=CC=CC=C3C)=O)C2,8286.0
1989740,DT2017-0020565,,O=C(C1=CC=CC=C1C2=NN=NN2)N(CCC3)CC3NC(C=C4)=CC=C4F,8287.0
